cam_time,cam_pulseWaveform_forehead,cam_bpm_forehead,cam_pulseWaveform_mouth,cam_bpm_mouth
3.631812,1048328.5,94.73684210526315,196757.5,0.0
3.798476,932827.0,0.0,199061.5,0.0
3.9186,888563.0,0.0,197613.5,0.0
4.020292,967692.0,0.0,239226.0,0.0
4.159836,877598.0,0.0,230878.0,0.0
4.295404,887688.0,0.0,237729.0,0.0
4.399367,893085.0,0.0,221284.0,0.0
4.609527,917005.0,0.0,185170.5,0.0
4.714757,914895.0,0.0,222446.0,0.0
4.804036,901545.0,0.0,191398.0,0.0
4.898042,852061.5,0.0,222795.0,0.0
4.992708,891697.0,0.0,245846.0,0.0
5.090459,915887.0,0.0,220570.0,0.0
5.233075,873482.0,0.0,207469.0,0.0
5.322199,873029.0,0.0,198575.5,0.0
5.414315,919745.0,0.0,207515.0,0.0
5.501423,827101.5,0.0,207515.0,0.0
5.605324,915104.0,0.0,179008.0,0.0
5.708638,909692.0,0.0,246952.5,0.0
5.858399,891390.0,0.0,203321.0,85.71428571428571
6.019495,903762.0,0.0,233054.5,85.71428571428571
6.164614,896032.0,0.0,221461.0,0.0
6.309186,898041.0,0.0,221069.0,0.0
6.460243,862329.0,0.0,238633.0,0.0
6.596889,895575.0,0.0,203416.0,100.0
6.756642,968312.0,0.0,254728.5,100.0
6.91277,941571.0,0.0,217772.0,0.0
7.067758,917081.0,0.0,221279.5,85.71428571428571
7.226389,962470.0,0.0,236857.0,105.88235294117648
7.362315,942238.0,0.0,191736.0,0.0
7.510961,873343.0,0.0,230829.0,105.88235294117648
7.658526,850725.0,0.0,255583.0,105.88235294117648
7.798348,870896.0,0.0,245935.5,0.0
7.932,934578.0,0.0,234720.0,0.0
8.079587,930192.0,0.0,245312.5,0.0
8.213672,878239.0,0.0,208071.0,0.0
8.376317,933043.0,0.0,243723.5,0.0
8.561309,1023719.0,0.0,282807.5,0.0
8.732236,970011.0,0.0,273568.0,0.0
8.871587,915307.0,0.0,207828.0,0.0
9.013326,914975.0,0.0,217769.0,0.0
9.15436,904347.0,0.0,245235.0,0.0
9.297741,952927.0,0.0,230404.0,0.0
9.437883,972194.0,0.0,244307.5,0.0
9.569636,954940.0,0.0,205874.0,0.0
9.725195,1021994.0,0.0,273238.0,0.0
9.860831,863765.0,0.0,208161.0,0.0
10.028053,1051302.0,0.0,271723.0,0.0
10.174297,915621.0,60.0,256878.0,0.0
10.312091,1006087.0,0.0,264023.5,0.0
10.452161,937024.0,0.0,247248.0,0.0
10.581997,902741.0,0.0,238542.0,0.0
10.736892,1027181.0,0.0,274849.0,0.0
10.871149,961902.0,0.0,277033.0,0.0
11.018267,921234.0,0.0,247546.0,0.0
11.146292,964542.0,0.0,257995.0,0.0
11.29149,1033545.0,0.0,301698.5,0.0
11.432188,940873.5,0.0,248879.5,0.0
11.570347,937183.5,0.0,231987.5,0.0
11.715194,1002586.5,0.0,273953.0,0.0
11.851254,969985.5,0.0,259105.0,0.0
11.988319,980467.5,0.0,259875.0,0.0
12.132299,884696.0,0.0,205390.0,0.0
12.282614,955120.5,0.0,232720.0,0.0
12.413281,972997.0,0.0,223052.0,0.0
12.569602,1021712.0,0.0,333866.0,0.0
12.708649,894389.0,0.0,237314.0,0.0
12.848138,1048616.0,0.0,304279.5,0.0
12.986524,879385.5,0.0,222591.0,0.0
13.11078,970601.0,0.0,222311.0,0.0
13.280158,1006823.0,0.0,214677.5,0.0
13.456328,944966.0,0.0,261038.0,0.0
13.63736,983639.5,0.0,259742.0,0.0
13.797605,958677.0,60.0,281403.5,0.0
13.940812,967277.0,0.0,261467.0,0.0
14.07403,948051.0,0.0,245965.0,0.0
14.224704,943705.0,0.0,232186.5,0.0
14.362627,988095.0,0.0,252083.0,0.0
14.494552,974000.0,0.0,232424.5,0.0
14.639578,1042735.5,0.0,276222.0,0.0
14.777298,1010509.0,0.0,274320.0,0.0
14.914597,1006915.0,0.0,259866.0,0.0
15.065703,1006081.0,60.0,279129.0,0.0
15.216397,1019211.0,0.0,268932.5,0.0
15.349684,924070.0,0.0,266244.5,0.0
15.482956,981190.0,0.0,243913.0,0.0
15.642091,882511.5,0.0,251761.5,0.0
15.77829,989593.0,0.0,275026.0,0.0
15.925787,970982.0,0.0,263845.0,0.0
16.071343,1015011.0,0.0,270805.5,0.0
16.207478,980382.0,0.0,258500.0,0.0
16.352423,948552.5,0.0,306741.0,0.0
16.510948,931485.0,0.0,248054.0,0.0
16.653306,960851.0,0.0,305320.5,0.0
16.809249,986555.5,0.0,287265.0,0.0
16.946705,939913.0,0.0,276665.0,0.0
17.110454,951694.5,0.0,303092.0,0.0
17.25371,957947.0,0.0,305270.0,0.0
17.392758,977960.0,0.0,276247.0,0.0
17.537562,1045267.0,0.0,338653.0,0.0
17.675278,913369.0,0.0,249863.5,0.0
17.806985,973693.0,0.0,286512.5,0.0
17.961975,981305.0,0.0,232013.0,0.0
18.108096,960919.5,0.0,262125.0,0.0
18.243324,1039886.0,0.0,262686.0,0.0
18.385903,920838.0,0.0,277428.0,0.0
18.529472,996112.5,0.0,274962.0,0.0
18.661298,902807.0,0.0,194382.0,0.0
18.805889,903990.0,0.0,236413.0,0.0
18.961164,987134.0,0.0,233461.0,0.0
19.110484,974409.0,0.0,249750.5,0.0
19.252628,883903.0,0.0,222144.0,0.0
19.393393,937213.0,0.0,265340.5,0.0
19.552663,934795.0,0.0,238530.0,0.0
19.698603,976721.0,0.0,259461.0,0.0
19.893452,943150.5,0.0,256899.0,0.0
20.054777,983558.5,0.0,291719.5,0.0
20.208819,958544.0,0.0,219818.0,0.0
20.342262,970795.0,0.0,212054.5,0.0
20.483919,964831.0,0.0,248229.0,0.0
20.638958,963455.5,0.0,234844.5,0.0
20.801256,959767.0,0.0,209447.0,0.0
20.962548,948661.0,0.0,223857.0,0.0
21.111283,878535.0,0.0,235818.0,0.0
21.265922,950805.0,0.0,206669.0,0.0
21.419826,982507.5,0.0,278362.0,0.0
21.559413,921225.0,0.0,210832.0,72.0
21.702454,1080402.5,0.0,305053.0,0.0
21.839272,1013978.0,0.0,253929.0,0.0
21.974308,992741.0,0.0,279242.0,0.0
22.124576,946181.5,0.0,256902.0,0.0
22.192225,946181.5,0.0,256902.0,0.0
22.361386,1025961.0,0.0,251243.5,0.0
22.493202,887566.0,0.0,209124.0,0.0
22.642413,820428.5,0.0,209124.0,0.0
22.798143,902299.0,0.0,209124.0,0.0
22.942104,887354.0,0.0,209124.0,0.0
23.087327,884724.0,0.0,209124.0,0.0
23.254498,935771.0,0.0,209124.0,0.0
23.429211,815018.0,0.0,209124.0,0.0
23.602105,821765.0,0.0,209124.0,0.0
23.868127,892670.5,0.0,209124.0,0.0
